,type,feature_extractor,epoch,dataset,split,metric,value
0,trained,unfrozen,999,Phoenix-v5,train,loss,0.2693718417359906
1,trained,unfrozen,999,Phoenix-v5,train,accuracy,0
2,trained,unfrozen,999,Phoenix-v5,train,precision,0
3,trained,unfrozen,999,Phoenix-v5,train,recall,0
4,trained,unfrozen,999,Phoenix-v5,train,f1score,0
5,trained,unfrozen,999,Phoenix-v5,train,specificity,0
6,trained,unfrozen,999,Phoenix-v5,train,auc,0
7,trained,unfrozen,999,Phoenix-v5,train,iou,0
8,trained,unfrozen,999,Phoenix-v5,validation,loss,0.26945539517328143
9,trained,unfrozen,999,Phoenix-v5,validation,accuracy,0
10,trained,unfrozen,999,Phoenix-v5,validation,precision,0
11,trained,unfrozen,999,Phoenix-v5,validation,recall,0
12,trained,unfrozen,999,Phoenix-v5,validation,f1score,0
13,trained,unfrozen,999,Phoenix-v5,validation,specificity,0
14,trained,unfrozen,999,Phoenix-v5,validation,auc,0
15,trained,unfrozen,999,Phoenix-v5,validation,iou,0
16,trained,unfrozen,999,DemonAttack-v5,train,loss,0.24432260271102663
17,trained,unfrozen,999,DemonAttack-v5,train,accuracy,0
18,trained,unfrozen,999,DemonAttack-v5,train,precision,0
19,trained,unfrozen,999,DemonAttack-v5,train,recall,0
20,trained,unfrozen,999,DemonAttack-v5,train,f1score,0
21,trained,unfrozen,999,DemonAttack-v5,train,specificity,0
22,trained,unfrozen,999,DemonAttack-v5,train,auc,0
23,trained,unfrozen,999,DemonAttack-v5,train,iou,0
24,trained,unfrozen,999,DemonAttack-v5,validation,loss,0.24430456043968737
25,trained,unfrozen,999,DemonAttack-v5,validation,accuracy,0
26,trained,unfrozen,999,DemonAttack-v5,validation,precision,0
27,trained,unfrozen,999,DemonAttack-v5,validation,recall,0
28,trained,unfrozen,999,DemonAttack-v5,validation,f1score,0
29,trained,unfrozen,999,DemonAttack-v5,validation,specificity,0
30,trained,unfrozen,999,DemonAttack-v5,validation,auc,0
31,trained,unfrozen,999,DemonAttack-v5,validation,iou,0
32,trained,unfrozen,999,Qbert-v5,train,loss,0.3278911326037411
33,trained,unfrozen,999,Qbert-v5,train,accuracy,0
34,trained,unfrozen,999,Qbert-v5,train,precision,0
